City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Kieta,PG,79.41,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
608,Sunrise Manor,US,76.05,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
611,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
613,Sao Lourenco Do Oeste,BR,71.28,broken clouds,-26.3592,-52.8511,Poente Hotel
618,Hambantota,LK,80.19,scattered clouds,6.1241,81.1185,Bungalow 63
619,Kinablangan,PH,78.46,overcast clouds,7.6947,126.5503,Danny Moreno Property
620,San Fernando,PH,82.42,clear sky,15.0286,120.6898,Maharlika Hostel
621,Morelos,MX,74.73,clear sky,18.75,-99.0,"Balneario, Salón de fiestas El Colibrí"
631,Ranong,TH,77.79,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
634,Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
637,Ouadda,CF,79.52,overcast clouds,8.0777,22.4007,
641,Kilindoni,TZ,80.1,clear sky,-7.9139,39.6668,Bustani B&B
647,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
648,Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
650,Merauke,ID,79.7,overcast clouds,-8.4667,140.3333,
652,Sapa,PH,81.21,overcast clouds,5.1544,120.3241,
653,Zwedru,LR,83.43,overcast clouds,6.0667,-8.1281,Elijah Worjloh
656,Takoradi,GH,82.92,light rain,4.8845,-1.7554,Raybow International Hotel
658,Mae Sai,TH,74.52,few clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
660,Ximei,CN,73.94,light rain,24.9639,118.3794,Nan'an Hotel
661,Mount Darwin,ZW,81.86,broken clouds,-16.7725,31.5838,
667,Emerald,AU,75.34,overcast clouds,-23.5333,148.1667,The Irish Village
670,Galle,LK,78.82,broken clouds,6.0367,80.217,Amangalla
671,Kambove,CD,79.25,broken clouds,-10.8764,26.5969,Couvant des soeurs catholiques
675,Sechura,PE,75.74,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
677,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
678,Muisne,EC,84.31,broken clouds,0.6,-80.0333,Quinta Samay
692,Zambezi,ZM,77.52,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
696,Sagua De Tanamo,CU,84.83,scattered clouds,20.5819,-75.2414,
697,Jabinyanah,TN,75.0,overcast clouds,35.035,10.9081,maison belmabrouk
